image_name,label,num_persons_detected,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf
frame2_1600.png,standing,1,681.45,116.72,0.9899,692.66,106.64,0.9376,668.71,106.45,0.9808,705.78,116.67,0.6169,644.83,115.87,0.9208,722.08,193.69,0.9939,621.91,196.44,0.9989,757.81,285.69,0.9613,601.37,295.35,0.9956,784.3,355.84,0.9446,587.41,363.46,0.9894,712.5,373.35,0.9987,647.06,375.42,0.9994,717.28,510.9,0.9968,646.09,513.18,0.9987,718.62,624.69,0.983,648.82,631.83,0.9907
frame2_1700.png,standing,1,680.04,119.11,0.9901,693.1,108.57,0.9342,668.27,106.84,0.9798,706.23,119.34,0.616,645.63,114.88,0.9055,716.56,196.56,0.9946,625.62,195.32,0.9986,754.67,288.69,0.9663,600.09,294.1,0.9948,797.31,268.74,0.9441,568.33,275.55,0.9871,707.7,369.62,0.9982,647.35,370.26,0.9991,713.68,509.95,0.9958,645.37,509.69,0.998,716.81,625.68,0.9733,649.7,632.79,0.984
frame2_1800.png,standing,1,682.59,122.82,0.9885,693.93,110.56,0.9346,668.74,110.05,0.9746,704.37,118.69,0.5951,645.03,118.14,0.8898,720.86,194.55,0.9915,621.18,196.43,0.9981,757.06,280.92,0.9555,603.05,287.76,0.9926,775.7,229.75,0.9362,597.42,223.44,0.9833,713.67,371.51,0.9962,646.02,373.49,0.998,718.04,508.89,0.9919,649.19,511.49,0.9961,716.02,628.44,0.9525,654.3,635.91,0.9712
frame2_1900.png,standing,1,683.63,120.51,0.9891,695.24,108.48,0.9413,670.0,108.35,0.9755,707.2,116.43,0.6444,647.99,115.86,0.9031,724.21,189.68,0.9943,624.0,191.69,0.9986,762.94,280.95,0.9634,599.3,288.23,0.9931,795.36,251.48,0.9429,572.36,239.41,0.9842,714.57,370.26,0.9981,648.11,371.77,0.999,719.6,513.2,0.9936,646.56,513.39,0.9968,721.71,634.28,0.9572,651.54,639.03,0.9737
frame2_200.png,standing,1,676.17,112.33,0.9884,687.96,102.66,0.9484,663.91,103.12,0.9712,704.62,115.27,0.7412,645.0,115.98,0.8701,731.85,193.81,0.9964,620.99,198.45,0.998,765.27,286.67,0.9762,593.82,293.37,0.9904,767.76,365.35,0.9558,590.33,369.39,0.9788,718.77,374.2,0.9989,648.08,376.96,0.9992,719.12,508.48,0.9965,646.69,512.04,0.9977,715.7,625.16,0.9792,654.17,631.27,0.9845
frame2_2000.png,standing,1,689.05,114.08,0.9902,700.29,103.44,0.937,675.68,103.59,0.9807,713.75,113.68,0.6242,650.91,113.71,0.9205,731.82,192.59,0.9952,626.84,196.5,0.9988,757.35,288.97,0.9663,604.7,297.52,0.9947,776.66,366.37,0.9438,590.35,375.09,0.9865,719.08,376.97,0.9987,651.34,379.28,0.9993,718.88,511.97,0.9956,646.55,511.79,0.9979,715.73,628.25,0.9738,649.33,629.55,0.9841
frame2_300.png,standing,1,686.63,122.46,0.9875,698.09,111.83,0.9345,674.62,111.39,0.9716,709.84,120.67,0.6571,651.07,117.61,0.8995,727.96,189.42,0.9966,616.47,194.72,0.9981,769.07,262.48,0.9796,610.88,275.45,0.9915,814.75,308.41,0.9634,696.23,260.45,0.9827,718.69,368.83,0.9991,646.21,375.92,0.9993,723.09,504.99,0.9973,645.01,514.79,0.9981,712.3,628.0,0.9818,656.68,632.26,0.9858
frame2_500.png,standing,1,678.9,119.11,0.9894,690.53,108.86,0.9372,666.75,108.44,0.9801,703.93,117.12,0.6213,643.65,115.68,0.9167,717.1,192.54,0.9934,620.27,194.62,0.9988,748.49,288.08,0.9591,598.6,295.56,0.9951,772.79,363.4,0.9425,583.35,369.41,0.9885,706.23,369.31,0.9984,642.8,371.63,0.9993,714.16,508.11,0.9962,644.17,511.83,0.9984,718.93,622.4,0.98,648.24,632.44,0.9889
frame2_600.png,standing,1,684.41,116.24,0.9875,696.08,105.48,0.9402,670.85,104.97,0.9727,708.49,115.64,0.6484,647.34,114.55,0.8878,724.17,193.43,0.9907,624.64,193.1,0.9979,751.22,290.9,0.9496,604.56,292.21,0.9907,764.22,370.37,0.9338,594.9,370.34,0.9815,715.85,371.9,0.9966,649.34,372.49,0.9982,718.14,510.32,0.9922,648.39,512.02,0.9962,718.2,625.67,0.9607,649.51,633.01,0.976
frame2_700.png,standing,1,680.42,119.71,0.9898,692.94,109.0,0.9349,668.4,107.18,0.9779,705.75,119.47,0.6065,645.0,114.71,0.8938,717.23,195.93,0.995,622.7,193.47,0.9984,753.36,284.86,0.9714,596.99,288.86,0.9941,781.65,232.79,0.9508,577.43,239.43,0.9861,709.29,368.79,0.9983,645.97,369.38,0.9991,714.92,509.39,0.996,645.87,510.13,0.9979,716.09,626.95,0.9733,651.09,634.26,0.9828
frame2_800.png,standing,1,678.58,123.09,0.9894,690.96,111.85,0.9412,666.2,110.72,0.9736,705.65,120.43,0.6455,644.05,117.16,0.8628,721.76,194.93,0.9957,622.22,191.88,0.9979,760.65,277.29,0.9775,598.53,275.85,0.9922,776.88,219.21,0.9598,588.71,219.25,0.9834,711.1,370.59,0.9984,644.45,370.81,0.9989,715.4,509.0,0.9962,645.28,510.28,0.9976,716.88,627.94,0.9741,652.13,634.58,0.9812
frame2_900.png,standing,1,682.83,115.94,0.9898,694.06,105.64,0.9375,669.81,105.53,0.9809,707.29,115.48,0.6168,645.77,115.03,0.9213,723.74,193.09,0.9937,623.22,196.22,0.9989,757.24,286.85,0.9594,602.48,296.89,0.9955,783.14,359.44,0.942,585.91,366.43,0.9891,714.19,373.65,0.9986,648.54,375.61,0.9994,718.4,512.77,0.9965,646.99,513.76,0.9986,719.41,626.05,0.9814,649.37,631.01,0.9899
frame2_2100.png,standing,1,683.89,118.46,0.9887,696.05,107.17,0.937,670.58,105.81,0.9749,706.69,118.25,0.6165,647.2,115.52,0.896,719.45,195.62,0.9921,622.64,197.64,0.9983,753.45,287.6,0.9574,601.42,299.06,0.9931,784.35,260.82,0.937,584.37,254.58,0.984,712.27,371.05,0.9968,646.68,373.1,0.9984,718.03,509.58,0.9933,647.94,511.21,0.9968,716.26,628.1,0.9616,652.99,634.81,0.9771
frame2_2200.png,standing,1,683.84,119.35,0.9897,695.98,108.56,0.9368,671.31,106.87,0.9761,708.92,119.61,0.6099,647.09,115.06,0.8836,723.76,196.36,0.9955,623.4,193.13,0.9981,761.62,278.63,0.9751,602.12,279.49,0.9932,781.72,217.7,0.956,594.5,217.1,0.9848,714.52,372.88,0.9983,647.28,372.79,0.999,717.45,512.59,0.9958,645.58,511.14,0.9976,716.65,630.56,0.9716,652.5,632.42,0.9803
frame2_2300.png,standing,1,686.7,116.81,0.9888,698.65,105.77,0.9368,673.01,104.45,0.9754,709.24,118.4,0.6139,649.72,115.51,0.9021,722.83,197.76,0.9919,627.24,196.9,0.9984,762.2,287.8,0.9548,603.97,291.33,0.9933,795.39,266.87,0.9334,573.29,256.81,0.9842,715.04,372.92,0.9967,650.63,373.52,0.9984,720.7,511.14,0.9928,650.59,511.87,0.9968,719.27,626.87,0.959,653.05,633.94,0.9763
frame2_2400.png,standing,1,687.59,114.61,0.9881,698.89,103.57,0.9392,673.54,103.29,0.9741,710.46,114.06,0.6337,648.86,113.66,0.8964,726.65,193.29,0.9913,625.4,194.8,0.9981,756.07,290.07,0.9524,603.74,296.78,0.9918,771.54,369.5,0.9373,587.28,375.95,0.9835,717.6,374.46,0.9966,650.43,375.55,0.9983,719.77,511.68,0.9918,649.64,513.3,0.9961,718.9,626.66,0.9566,650.08,633.16,0.9739
frame2_2500.png,standing,1,688.3,118.63,0.9888,700.26,106.54,0.9354,673.97,106.12,0.9794,712.07,115.91,0.5933,650.17,114.64,0.9235,727.21,193.2,0.9909,626.19,194.97,0.9985,762.04,286.91,0.934,603.99,299.22,0.9924,791.52,291.28,0.9048,569.77,303.13,0.9814,714.79,376.01,0.9964,648.7,376.8,0.9984,718.29,515.82,0.9872,646.78,513.59,0.9948,717.0,634.47,0.9267,651.39,637.7,0.9595
frame2_2600.png,standing,1,684.85,121.58,0.99,696.84,110.19,0.9355,671.83,109.17,0.9775,710.04,119.64,0.5934,647.22,116.73,0.889,724.43,195.12,0.9952,625.55,193.71,0.9983,761.58,277.13,0.9736,606.13,279.97,0.9938,780.47,216.27,0.9544,595.24,216.66,0.986,714.33,371.88,0.9984,647.83,372.46,0.9991,717.06,510.72,0.9961,646.34,511.05,0.9979,716.43,629.21,0.9738,651.83,633.79,0.9825
frame2_300.png,standing,1,686.63,122.46,0.9875,698.09,111.83,0.9345,674.62,111.39,0.9716,709.84,120.67,0.6571,651.07,117.61,0.8995,727.96,189.42,0.9966,616.47,194.72,0.9981,769.07,262.48,0.9796,610.88,275.45,0.9915,814.75,308.41,0.9634,696.23,260.45,0.9827,718.69,368.83,0.9991,646.21,375.92,0.9993,723.09,504.99,0.9973,645.01,514.79,0.9981,712.3,628.0,0.9818,656.68,632.26,0.9858
frame2_500.png,standing,1,678.9,119.11,0.9894,690.53,108.86,0.9372,666.75,108.44,0.9801,703.93,117.12,0.6213,643.65,115.68,0.9167,717.1,192.54,0.9934,620.27,194.62,0.9988,748.49,288.08,0.9591,598.6,295.56,0.9951,772.79,363.4,0.9425,583.35,369.41,0.9885,706.23,369.31,0.9984,642.8,371.63,0.9993,714.16,508.11,0.9962,644.17,511.83,0.9984,718.93,622.4,0.98,648.24,632.44,0.9889
frame2_600.png,standing,1,684.41,116.24,0.9875,696.08,105.48,0.9402,670.85,104.97,0.9727,708.49,115.64,0.6484,647.34,114.55,0.8878,724.17,193.43,0.9907,624.64,193.1,0.9979,751.22,290.9,0.9496,604.56,292.21,0.9907,764.22,370.37,0.9338,594.9,370.34,0.9815,715.85,371.9,0.9966,649.34,372.49,0.9982,718.14,510.32,0.9922,648.39,512.02,0.9962,718.2,625.67,0.9607,649.51,633.01,0.976
frame2_700.png,standing,1,680.42,119.71,0.9898,692.94,109.0,0.9349,668.4,107.18,0.9779,705.75,119.47,0.6065,645.0,114.71,0.8938,717.23,195.93,0.995,622.7,193.47,0.9984,753.36,284.86,0.9714,596.99,288.86,0.9941,781.65,232.79,0.9508,577.43,239.43,0.9861,709.29,368.79,0.9983,645.97,369.38,0.9991,714.92,509.39,0.996,645.87,510.13,0.9979,716.09,626.95,0.9733,651.09,634.26,0.9828
frame2_800.png,standing,1,678.58,123.09,0.9894,690.96,111.85,0.9412,666.2,110.72,0.9736,705.65,120.43,0.6455,644.05,117.16,0.8628,721.76,194.93,0.9957,622.22,191.88,0.9979,760.65,277.29,0.9775,598.53,275.85,0.9922,776.88,219.21,0.9598,588.71,219.25,0.9834,711.1,370.59,0.9984,644.45,370.81,0.9989,715.4,509.0,0.9962,645.28,510.28,0.9976,716.88,627.94,0.9741,652.13,634.58,0.9812
frame2_900.png,standing,1,682.83,115.94,0.9898,694.06,105.64,0.9375,669.81,105.53,0.9809,707.29,115.48,0.6168,645.77,115.03,0.9213,723.74,193.09,0.9937,623.22,196.22,0.9989,757.24,286.85,0.9594,602.48,296.89,0.9955,783.14,359.44,0.942,585.91,366.43,0.9891,714.19,373.65,0.9986,648.54,375.61,0.9994,718.4,512.77,0.9965,646.99,513.76,0.9986,719.41,626.05,0.9814,649.37,631.01,0.9899
frame5_100.png,standing,1,731.85,176.41,0.9835,744.7,166.64,0.9631,723.22,162.04,0.9349,762.69,165.34,0.8706,708.49,155.16,0.6999,796.13,224.97,0.9978,663.1,207.26,0.9939,833.59,277.83,0.9899,604.55,249.02,0.9615,795.51,339.47,0.9765,636.7,318.9,0.9371,742.69,402.56,0.9983,660.51,389.47,0.9971,726.45,523.17,0.9882,640.81,494.19,0.9807,695.9,610.64,0.92,640.51,567.88,0.8944
frame5_1100.png,standing,1,725.82,156.45,0.9841,736.06,146.63,0.9591,715.08,144.21,0.9421,750.36,153.51,0.85,698.09,148.84,0.7531,790.07,224.91,0.9978,655.18,210.87,0.9948,829.85,288.3,0.9884,598.62,262.52,0.9654,796.15,343.5,0.9729,628.98,327.96,0.9408,743.78,393.82,0.9982,661.66,382.24,0.9972,723.91,514.11,0.9886,642.79,484.7,0.9829,699.11,615.68,0.9213,641.65,568.75,0.9013
frame6_1000.png,standing,1,639.36,133.82,0.9893,647.75,125.19,0.9167,626.88,124.73,0.9828,655.66,137.72,0.5047,599.76,136.1,0.9396,666.61,210.77,0.9935,578.88,207.62,0.9988,693.13,295.85,0.9531,561.67,292.59,0.9954,717.98,339.06,0.9303,562.07,338.39,0.9885,660.37,373.01,0.9985,602.12,372.41,0.9994,657.88,509.72,0.996,595.1,505.78,0.9984,654.25,635.43,0.9777,590.31,630.81,0.9877
frame6_1100.png,standing,1,631.1,143.18,0.9882,640.62,134.55,0.9287,619.57,133.66,0.9777,649.45,145.47,0.5856,596.77,143.04,0.915,657.97,209.71,0.9943,576.78,207.24,0.9986,688.96,282.06,0.9633,563.36,281.35,0.9941,710.94,232.41,0.9451,563.31,221.21,0.9864,650.28,364.91,0.9987,594.89,365.1,0.9993,653.07,505.06,0.996,592.2,505.25,0.9981,656.07,635.22,0.9749,594.72,639.94,0.9845
frame6_1200.png,standing,1,649.42,160.23,0.9884,661.2,150.02,0.9314,638.59,148.53,0.9772,675.27,148.95,0.609,616.8,144.96,0.9,681.53,210.77,0.9934,592.81,206.47,0.9985,697.06,302.96,0.9634,565.2,298.21,0.9947,713.86,376.7,0.9479,557.1,377.45,0.9878,661.76,374.23,0.9985,603.77,373.12,0.9993,660.72,507.98,0.9967,597.83,507.19,0.9985,656.48,631.33,0.9829,594.38,636.79,0.9898
frame6_1300.png,standing,1,645.42,136.5,0.988,655.48,127.74,0.9298,634.75,125.64,0.9761,662.58,138.31,0.5874,610.86,132.8,0.9098,668.95,205.06,0.9945,583.13,200.6,0.9983,701.4,281.81,0.9662,564.35,280.47,0.9926,726.43,230.1,0.9482,568.98,216.78,0.9839,654.89,367.17,0.9984,597.56,366.93,0.9991,655.89,506.75,0.9948,595.59,507.84,0.9971,654.85,633.99,0.9653,598.94,640.51,0.9764
frame6_1400.png,standing,1,646.99,129.16,0.9888,657.13,120.37,0.9281,635.48,119.43,0.9799,668.17,132.44,0.5751,611.09,129.52,0.9189,679.53,208.34,0.993,587.54,204.88,0.9986,704.31,302.99,0.9564,562.87,298.08,0.9946,716.23,378.55,0.9388,559.31,379.17,0.9875,666.53,371.76,0.9982,606.1,370.95,0.9992,663.4,509.74,0.9954,598.55,509.14,0.998,658.09,632.1,0.9746,592.48,634.59,0.9854
frame6_1500.png,standing,1,638.49,138.76,0.9883,648.57,130.26,0.9276,627.61,128.18,0.9781,656.27,141.14,0.5696,603.35,135.65,0.9178,663.11,206.23,0.9942,578.87,202.0,0.9985,696.04,282.31,0.9624,565.43,281.48,0.9938,719.91,232.98,0.9437,566.81,221.16,0.9858,653.47,365.36,0.9985,596.44,364.9,0.9992,655.03,506.39,0.9953,592.87,505.95,0.9977,656.02,635.15,0.9699,597.66,640.03,0.981
frame6_1600.png,standing,1,646.14,133.36,0.9889,656.58,124.56,0.9305,634.99,123.28,0.9795,667.59,135.41,0.585,610.31,131.71,0.9152,678.06,208.87,0.9935,585.46,206.15,0.9985,703.28,301.86,0.9603,560.37,298.96,0.9943,713.37,378.71,0.9435,555.6,378.29,0.9872,664.33,371.61,0.9982,603.65,371.26,0.9992,662.35,508.44,0.9957,597.57,508.76,0.998,657.46,631.64,0.9761,594.15,635.45,0.9857
frame6_1700.png,standing,1,641.53,133.91,0.9884,650.38,125.15,0.9106,629.98,123.52,0.9806,656.1,137.95,0.5009,602.97,133.66,0.9347,663.43,209.83,0.9943,578.23,205.87,0.9988,692.77,299.11,0.9599,559.65,295.9,0.9952,725.42,271.5,0.9362,574.03,251.2,0.9879,658.09,367.22,0.9986,600.66,367.48,0.9994,658.26,506.51,0.9967,595.17,505.98,0.9986,650.42,632.44,0.9802,590.9,632.45,0.9884
frame6_1800.png,standing,1,643.02,128.43,0.9886,651.95,119.32,0.9231,630.48,119.13,0.981,661.26,130.63,0.5314,605.17,129.74,0.9302,672.25,204.85,0.9914,582.11,199.85,0.9988,701.96,290.85,0.9466,558.22,284.02,0.9954,722.57,351.75,0.9322,560.14,348.59,0.9895,659.23,367.89,0.9982,599.1,366.15,0.9993,657.42,507.36,0.9965,597.05,503.2,0.9987,656.59,631.83,0.9828,593.75,627.87,0.9911
frame6_1900.png,standing,1,644.52,143.39,0.9883,655.07,133.75,0.917,633.64,130.92,0.9795,662.99,141.57,0.52,607.81,134.18,0.9211,666.09,211.85,0.9933,580.9,202.6,0.9984,692.81,301.42,0.9586,557.04,292.17,0.9944,727.25,268.33,0.9356,572.05,256.13,0.9864,656.85,369.04,0.9981,599.44,367.4,0.9991,658.66,509.48,0.9961,596.47,506.26,0.9982,652.64,632.42,0.978,595.52,631.12,0.9869
frame6_200.png,standing,1,662.87,139.68,0.9875,673.5,130.54,0.9447,651.74,129.92,0.9663,687.49,142.73,0.7217,633.72,141.13,0.8428,704.69,215.2,0.9956,611.87,210.6,0.9968,729.86,301.71,0.9761,576.02,292.4,0.9864,749.11,377.67,0.9545,573.5,364.24,0.9717,679.67,374.68,0.9978,617.98,371.67,0.9983,671.87,508.17,0.9919,599.83,502.57,0.9936,659.09,634.92,0.9444,579.43,626.74,0.9528
frame6_2000.png,standing,1,635.26,149.0,0.9876,644.55,139.44,0.9286,624.56,138.23,0.9757,651.68,145.85,0.5825,600.84,142.23,0.9091,660.1,206.85,0.9942,575.02,206.59,0.9982,694.52,280.92,0.9644,558.3,285.12,0.9922,728.1,253.57,0.9456,572.43,232.16,0.9832,653.99,366.91,0.9983,597.39,369.17,0.999,653.75,504.71,0.9943,593.57,508.55,0.9968,654.09,633.71,0.9637,597.6,639.92,0.9753
frame6_2100.png,standing,1,650.78,131.41,0.9897,658.58,122.55,0.9113,638.15,121.95,0.9847,664.97,133.83,0.4534,608.26,131.94,0.9485,674.73,206.21,0.993,582.86,203.36,0.999,700.03,293.33,0.9482,561.56,291.82,0.996,722.3,344.95,0.925,561.92,345.41,0.9895,664.71,370.79,0.9985,604.16,370.09,0.9994,660.5,508.68,0.9961,596.32,504.13,0.9985,652.88,635.28,0.9785,589.7,628.85,0.9887
frame6_2200.png,standing,1,639.82,136.23,0.9887,647.6,127.89,0.9098,628.43,126.62,0.9824,651.34,139.47,0.4499,600.3,135.81,0.9417,657.45,204.68,0.9928,575.25,201.61,0.9988,692.8,276.2,0.9507,562.67,276.19,0.9953,720.21,228.18,0.9313,564.32,216.92,0.9888,651.93,364.31,0.9984,595.98,364.73,0.9993,653.63,505.05,0.9951,592.65,505.72,0.998,655.64,634.94,0.9701,594.83,639.18,0.9833
frame6_2300.png,standing,1,646.0,149.45,0.9891,657.75,139.68,0.9328,634.91,137.58,0.9792,671.01,142.51,0.5877,610.36,136.71,0.9081,678.0,208.09,0.9935,585.57,201.46,0.9985,698.69,300.49,0.9624,561.04,290.49,0.9945,713.52,371.64,0.9465,555.3,363.97,0.9877,662.03,371.62,0.9985,601.37,369.68,0.9993,660.78,508.23,0.9965,595.74,505.66,0.9984,656.17,631.84,0.9817,594.88,634.03,0.9891
frame6_300.png,standing,1,666.96,247.1,0.9881,679.14,238.42,0.922,657.4,234.03,0.9805,691.59,226.67,0.5064,630.89,216.48,0.9155,691.41,264.29,0.9913,594.2,257.85,0.9984,712.03,360.58,0.9508,567.62,362.4,0.9943,721.4,443.16,0.9329,560.51,445.02,0.9865,654.56,387.91,0.9978,591.26,385.75,0.999,668.02,515.47,0.9957,593.53,512.79,0.9981,656.65,637.35,0.9814,595.73,643.69,0.9892
frame6_400.png,standing,1,665.99,156.32,0.9881,675.31,147.01,0.915,654.16,146.11,0.9817,683.21,156.45,0.4749,625.56,154.26,0.9273,689.4,227.96,0.9894,596.39,226.54,0.9984,711.7,321.98,0.9383,570.88,323.93,0.9944,721.1,399.92,0.9255,564.92,401.94,0.9879,664.09,382.93,0.997,603.05,382.16,0.9988,665.73,513.29,0.9938,601.03,510.53,0.9976,657.66,634.58,0.9725,594.0,632.82,0.985
frame6_500.png,standing,1,631.0,128.39,0.9884,639.92,119.25,0.9206,618.81,119.68,0.9797,649.59,132.18,0.5441,593.69,132.51,0.9218,663.57,208.43,0.9928,574.36,208.78,0.9985,691.14,301.47,0.9545,554.83,298.92,0.9947,703.86,376.3,0.9368,549.27,372.49,0.988,657.67,373.38,0.9981,598.59,374.63,0.9992,656.8,509.31,0.9954,594.7,510.81,0.9981,657.8,633.39,0.9752,592.58,636.04,0.986
frame6_600.png,standing,1,634.47,138.88,0.9885,644.18,130.11,0.9271,623.27,128.57,0.979,651.88,140.36,0.5556,598.78,136.06,0.9199,661.38,203.78,0.9937,575.04,201.97,0.9985,698.87,275.79,0.9598,561.74,277.76,0.9939,723.88,224.42,0.9406,564.5,208.86,0.9861,655.15,364.95,0.9983,596.89,365.84,0.9991,655.77,504.93,0.9946,592.53,507.41,0.9974,654.65,633.54,0.9651,596.4,641.33,0.9785
frame6_700.png,standing,1,648.23,127.53,0.9887,657.47,118.77,0.9203,636.53,118.05,0.9808,666.73,131.14,0.5292,610.32,128.88,0.9269,677.74,206.66,0.9927,586.46,204.33,0.9987,703.18,300.47,0.9542,562.44,297.69,0.9952,714.09,372.9,0.9368,557.82,373.98,0.9888,666.27,369.75,0.9983,606.04,369.35,0.9993,663.3,509.0,0.9959,598.78,508.4,0.9983,658.2,632.86,0.9775,592.27,634.29,0.9875
